Level1,Level2,Level3,Level4,Level5,Address,GID_0,GID_0_NAME,GID_1,GID_1_NAME,GID_2,GID_2_NAME,GID_3,GID_3_NAME,GID_4,GID_4_NAME,NumberOfPollingStations,QuickReportsSubmitted,FormSubmitted,PSISubmitted,NumberOfQuestionsAnswered,NumberOfFlaggedAnswers,ObserversWithForms,ObserversWithQuickReports,ObserversWithPSI,ActiveObservers,VisitedPollingStations
10 - გლდანი,6,,,,გლდანი-6,,,,,,,,,,,1,0,2,0,16,0,1,0,0,1,1
10 - გლდანი,60,,,,გლდანი-60,,,,,,,,,,,1,1,12,1,145,31,2,1,1,2,1
10 - გლდანი,61,,,,გლდანი-61,,,,,,,,,,,1,12,11,1,1512,12,1,1,1,1,1
10 - გლდანი,62,,,,გლდანი-62,,,,,,,,,,,1,7,11,0,882,21,1,1,0,1,1
10 - გლდანი,63,,,,გლდანი-63,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
10 - გლდანი,64,,,,გლდანი-64,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
10 - გლდანი,65,,,,გლდანი-65,,,,,,,,,,,1,4,11,1,504,12,1,1,1,1,1
10 - გლდანი,66,,,,გლდანი-66,,,,,,,,,,,1,14,11,0,1806,28,1,1,0,1,1
10 - გლდანი,67,,,,გლდანი-67,,,,,,,,,,,1,7,11,1,882,0,1,1,1,1,1
10 - გლდანი,68,,,,გლდანი-68,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
10 - გლდანი,69,,,,გლდანი-69,,,,,,,,,,,1,1,11,1,126,2,1,1,1,1,1
10 - გლდანი,7,,,,გლდანი-7,,,,,,,,,,,1,0,1,0,6,0,1,0,0,1,1
10 - გლდანი,70,,,,გლდანი-70,,,,,,,,,,,1,1,8,1,88,0,1,1,1,1,1
10 - გლდანი,71,,,,გლდანი-71,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
10 - გლდანი,72,,,,გლდანი-72,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
10 - გლდანი,73,,,,გლდანი-73,,,,,,,,,,,1,5,11,0,630,20,1,1,0,1,1
10 - გლდანი,74,,,,გლდანი-74,,,,,,,,,,,1,2,11,0,252,0,1,1,0,1,1
10 - გლდანი,75,,,,გლდანი-75,,,,,,,,,,,1,5,11,1,630,15,1,1,1,1,1
10 - გლდანი,8,,,,გლდანი-8,,,,,,,,,,,1,3,11,0,381,9,1,1,0,1,1
10 - გლდანი,9,,,,გლდანი-9,,,,,,,,,,,1,9,11,0,1152,9,1,1,0,1,1
11 - საგარეჯო,1,,,,საგარეჯო-1,,,,,,,,,,,1,5,11,0,630,30,1,1,0,1,1
11 - საგარეჯო,10,,,,საგარეჯო-10,,,,,,,,,,,1,1,10,1,117,1,2,1,1,2,1
11 - საგარეჯო,11,,,,საგარეჯო-11,,,,,,,,,,,1,0,10,1,111,1,1,0,1,1,1
11 - საგარეჯო,12,,,,საგარეჯო-12,,,,,,,,,,,1,0,2,1,26,0,1,0,1,1,1
11 - საგარეჯო,13,,,,საგარეჯო-13,,,,,,,,,,,1,1,11,0,126,0,1,1,0,1,1
11 - საგარეჯო,14,,,,საგარეჯო-14,,,,,,,,,,,1,5,10,0,630,35,1,1,0,1,1
11 - საგარეჯო,15,,,,საგარეჯო-15,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
11 - საგარეჯო,16,,,,საგარეჯო-16,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
11 - საგარეჯო,17,,,,საგარეჯო-17,,,,,,,,,,,1,4,19,3,2424,12,3,1,3,4,1
11 - საგარეჯო,18,,,,საგარეჯო-18,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
11 - საგარეჯო,19,,,,საგარეჯო-19,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
11 - საგარეჯო,2,,,,საგარეჯო-2,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
11 - საგარეჯო,20,,,,საგარეჯო-20,,,,,,,,,,,1,6,9,0,432,6,1,1,0,1,1
11 - საგარეჯო,21,,,,საგარეჯო-21,,,,,,,,,,,1,3,11,0,270,9,1,1,0,1,1
11 - საგარეჯო,22,,,,საგარეჯო-22,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
11 - საგარეჯო,23,,,,საგარეჯო-23,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
11 - საგარეჯო,24,,,,საგარეჯო-24,,,,,,,,,,,1,0,8,1,62,1,1,0,1,1,1
11 - საგარეჯო,25,,,,საგარეჯო-25,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
11 - საგარეჯო,26,,,,საგარეჯო-26,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
11 - საგარეჯო,27,,,,საგარეჯო-27,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
11 - საგარეჯო,28,,,,საგარეჯო-28,,,,,,,,,,,1,9,22,1,1647,108,3,3,1,4,1
11 - საგარეჯო,29,,,,საგარეჯო-29,,,,,,,,,,,1,0,8,2,170,16,2,0,2,2,1
11 - საგარეჯო,3,,,,საგარეჯო-3,,,,,,,,,,,1,0,2,1,2,0,1,0,1,1,1
11 - საგარეჯო,30,,,,საგარეჯო-30,,,,,,,,,,,1,3,18,0,378,21,3,1,0,3,1
11 - საგარეჯო,31,,,,საგარეჯო-31,,,,,,,,,,,1,6,6,1,234,30,1,1,1,1,1
11 - საგარეჯო,32,,,,საგარეჯო-32,,,,,,,,,,,1,33,31,3,21780,1782,5,5,3,6,1
11 - საგარეჯო,33,,,,საგარეჯო-33,,,,,,,,,,,1,0,15,1,117,28,2,0,1,2,1
11 - საგარეჯო,34,,,,საგარეჯო-34,,,,,,,,,,,1,27,23,1,4644,405,3,2,1,3,1
11 - საგარეჯო,35,,,,საგარეჯო-35,,,,,,,,,,,1,4,4,2,176,16,2,1,2,2,1
11 - საგარეჯო,36,,,,საგარეჯო-36,,,,,,,,,,,1,1,15,1,131,3,4,1,1,4,1
11 - საგარეჯო,37,,,,საგარეჯო-37,,,,,,,,,,,1,0,7,1,53,1,2,0,1,2,1
11 - საგარეჯო,38,,,,საგარეჯო-38,,,,,,,,,,,1,5,10,2,870,70,2,2,2,2,1
11 - საგარეჯო,39,,,,საგარეჯო-39,,,,,,,,,,,1,4,13,1,360,4,2,2,1,2,1
11 - საგარეჯო,4,,,,საგარეჯო-4,,,,,,,,,,,1,4,9,1,408,8,1,1,1,1,1
11 - საგარეჯო,40,,,,საგარეჯო-40,,,,,,,,,,,1,1,11,0,90,2,1,1,0,1,1
11 - საგარეჯო,5,,,,საგარეჯო-5,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
11 - საგარეჯო,6,,,,საგარეჯო-6,,,,,,,,,,,1,0,10,0,114,3,1,0,0,1,1
11 - საგარეჯო,7,,,,საგარეჯო-7,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
11 - საგარეჯო,8,,,,საგარეჯო-8,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
11 - საგარეჯო,9,,,,საგარეჯო-9,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
12 - გურჯაანი,1,,,,გურჯაანი-1,,,,,,,,,,,1,15,11,1,1905,165,1,1,1,1,1
12 - გურჯაანი,10,,,,გურჯაანი-10,,,,,,,,,,,1,1,11,0,126,3,1,1,0,1,1
12 - გურჯაანი,11,,,,გურჯაანი-11,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
12 - გურჯაანი,12,,,,გურჯაანი-12,,,,,,,,,,,1,5,9,0,585,25,2,1,0,2,1
12 - გურჯაანი,13,,,,გურჯაანი-13,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
12 - გურჯაანი,14,,,,გურჯაანი-14,,,,,,,,,,,1,2,11,1,252,8,1,1,1,1,1
12 - გურჯაანი,15,,,,გურჯაანი-15,,,,,,,,,,,1,0,2,1,24,0,1,0,1,1,1
12 - გურჯაანი,16,,,,გურჯაანი-16,,,,,,,,,,,1,18,11,0,2268,108,1,1,0,1,1
12 - გურჯაანი,17,,,,გურჯაანი-17,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
12 - გურჯაანი,18,,,,გურჯაანი-18,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
12 - გურჯაანი,19,,,,გურჯაანი-19,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
12 - გურჯაანი,2,,,,გურჯაანი-2,,,,,,,,,,,1,6,12,2,1752,24,2,1,2,2,1
12 - გურჯაანი,20,,,,გურჯაანი-20,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
12 - გურჯაანი,21,,,,გურჯაანი-21,,,,,,,,,,,1,18,11,0,2286,108,1,1,0,1,1
12 - გურჯაანი,22,,,,გურჯაანი-22,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
12 - გურჯაანი,23,,,,გურჯაანი-23,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
12 - გურჯაანი,24,,,,გურჯაანი-24,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
12 - გურჯაანი,25,,,,გურჯაანი-25,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
12 - გურჯაანი,26,,,,გურჯაანი-26,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
12 - გურჯაანი,27,,,,გურჯაანი-27,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
12 - გურჯაანი,28,,,,გურჯაანი-28,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
12 - გურჯაანი,29,,,,გურჯაანი-29,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
12 - გურჯაანი,3,,,,გურჯაანი-3,,,,,,,,,,,1,1,11,0,126,3,1,1,0,1,1
12 - გურჯაანი,30,,,,გურჯაანი-30,,,,,,,,,,,1,3,11,1,378,3,1,1,1,1,1
12 - გურჯაანი,31,,,,გურჯაანი-31,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
12 - გურჯაანი,32,,,,გურჯაანი-32,,,,,,,,,,,1,0,10,1,119,2,1,0,1,1,1
12 - გურჯაანი,33,,,,გურჯაანი-33,,,,,,,,,,,1,2,11,1,252,6,1,1,1,1,1
12 - გურჯაანი,34,,,,გურჯაანი-34,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
12 - გურჯაანი,35,,,,გურჯაანი-35,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
12 - გურჯაანი,36,,,,გურჯაანი-36,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
12 - გურჯაანი,37,,,,გურჯაანი-37,,,,,,,,,,,1,0,7,1,43,1,1,0,1,1,1
12 - გურჯაანი,38,,,,გურჯაანი-38,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
12 - გურჯაანი,39,,,,გურჯაანი-39,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
