Level1,Level2,Level3,Level4,Level5,Address,GID_0,GID_0_NAME,GID_1,GID_1_NAME,GID_2,GID_2_NAME,GID_3,GID_3_NAME,GID_4,GID_4_NAME,NumberOfPollingStations,QuickReportsSubmitted,FormSubmitted,PSISubmitted,NumberOfQuestionsAnswered,NumberOfFlaggedAnswers,ObserversWithForms,ObserversWithQuickReports,ObserversWithPSI,ActiveObservers,VisitedPollingStations
Diaspora,Africa de Sud,Cape Town,,,"24 Highwick Drive, 7708, Kenilworth, Cape Town",ZAF,Africa de Sud,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Africa de Sud,Pretoria,,,"877 Justice Mahomed Street, Brooklyn, 0181, Pretoria",ZAF,Africa de Sud,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Algeria,Alger,,,"24, rue Abri Arezki, Hydra, Alger",DZA,Algeria,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Angola,Luanda,,,"Rua Ramalho Ortigão, nr. 30, Bairro Alvalade, Luanda",AGO,Angola,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Argentina,Buenos Aires,,,"Calle Arroyo, nr. 962-970, cod poștal 1007AAD, Orașul Autonom Buenos Aires",ARG,Argentina,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Armenia,Erevan,,,"Strada Barbusse, nr. 15, cartier Arabkir, cod poștal  0028, Erevan",ARM,Armenia,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Australia,Adelaide,,,"32/34 Rosa St, Goodwood SA 5034",AUS,Australia,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Australia,Canberra,,,"4 Dalman Crescent, O'Malley, ACT, 2606",AUS,Australia,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Australia,Melbourne,,,"Camera 10.01A, Etaj 10, 5 Queens Road, Melbourne VIC 3004",AUS,Australia,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Australia,Perth,,,"8 Balga Ave, Balga WA 6061",AUS,Australia,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Australia,Surfers Paradise,,,"1-2/66 Appel Street, Surfers Paradise, Gold Coast, QLD, 4217",AUS,Australia,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Australia,Sydney,,,"Suite 4, G-F/83 York Street, CBD, Sydney, NSW, 2000",AUS,Australia,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Austria,Bregenz,,,"Grand Hotel, Platz der Wiener Symphoniker 2, 6900 Bregenz",AUT,Austria,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Austria,Eisenstadt,,,"Hotel Galantha - Esterhazyplatz 3, 7000, Eisenstadt",AUT,Austria,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Austria,Graz 1,,,"IntercityHotel - Finkengasse 2, 8020, Graz",AUT,Austria,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Austria,Graz 2,,,"IntercityHotel - Finkengasse 2, 8020, Graz",AUT,Austria,,,,,,,,,1,0,4,0,91,0,1,0,0,1,1
Diaspora,Austria,Innsbruck,,,"Hotel Congress, Rennweg 12a, 6020 Innsbruck",AUT,Austria,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Austria,Klagenfurt,,,"SW Umwelttechnik, Stoiser & Wolschner AG, Bahnstraße 89 9020 Klagenfurt",AUT,Austria,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Austria,Linz 1,,,"Bischöfliches Priesterseminar der Diözese Linz, Harrachstraße 7, 4020 Linz",AUT,Austria,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Austria,Linz 2,,,"Bischöfliches Priesterseminar der Diözese Linz, Harrachstraße 7, 4020 Linz",AUT,Austria,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Austria,Salzburg 1,,,"Rudolfskai 50, 5020 Salzburg",AUT,Austria,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Austria,Salzburg 2,,,"Rudolfskai 50, 5020 Salzburg",AUT,Austria,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Austria,Sankt Pölten,,,"Haus 17A, E01, Landhausplatz 1, 3100, Sankt Pölten",AUT,Austria,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Austria,Viena 1,,,"Prinz Eugen Strasse 60, 1040, Viena",AUT,Austria,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Austria,Viena 2,,,"Prinz Eugen Strasse 60, 1040, Viena",AUT,Austria,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Austria,Viena 3,,,"Theresianumgasse 25, 1040, Viena",AUT,Austria,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Austria,Viena 4,,,"Argentinierstrasse 39, 1040, Viena",AUT,Austria,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Austria,Viena 5,,,"Argentinierstrasse 39, 1040, Viena",AUT,Austria,,,,,,,,,1,0,2,1,94,9,1,0,1,1,1
Diaspora,Austria,Viena 6,,,"Gasometer Spielraum - Guglgasse 8/Gasometer B, 1100, Viena",AUT,Austria,,,,,,,,,1,0,4,1,112,1,1,0,1,1,1
Diaspora,Azerbaidjan,Baku,,,"B-dul Akad. Hasan Aliyev, nr. 125 A (Narimanov), cod AZ1110 Baku",AZE,Azerbaidjan,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Belgia,Antwerpen 1,,,"Blue Point Antwerpen, Filip Williotstraat 9, 2600 Antwerpen",BEL,Belgia,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Belgia,Antwerpen 2,,,"Blue Point Antwerpen, Filip Williotstraat 9, 2600 Antwerpen",BEL,Belgia,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Belgia,Arlon,,,"Rue du Musee 10, 6700 Arlon",BEL,Belgia,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Belgia,Bruges 1,,,"Library Zorge, Moerkerkse Steenweg 190, Bruges 8310",BEL,Belgia,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Belgia,Bruges 2,,,"Library Zorge, Moerkerkse Steenweg 190, Bruges 8310",BEL,Belgia,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Belgia,Bruxelles 1,,,"Rue Gabrielle 105, 1180 Uccle",BEL,Belgia,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
Diaspora,Belgia,Bruxelles 10,,,"Autoworld Brussels, Parc du Cinquantenaire 11, Jubelpark, 1000 Bruxelles",BEL,Belgia,,,,,,,,,1,0,4,1,135,2,1,0,1,1,1
Diaspora,Belgia,Bruxelles 11,,,"Autoworld Brussels, Parc du Cinquantenaire 11, Jubelpark, 1000 Bruxelles",BEL,Belgia,,,,,,,,,1,0,5,2,318,6,2,0,2,2,1
Diaspora,Belgia,Bruxelles 12,,,"Autoworld Brussels, Parc du Cinquantenaire 11, Jubelpark, 1000 Bruxelles",BEL,Belgia,,,,,,,,,1,0,5,1,110,1,2,0,1,2,1
